K,Horizon,Mean_DirAcc,Mean_MAE,Mean_RMSE
2,1,0.529,0.0086,0.0127
2,5,0.569,0.0192,0.0270
2,10,0.591,0.0267,0.0376
2,20,0.618,0.0374,0.0525
2,40,0.657,0.0508,0.0694
2,50,0.679,0.0561,0.0761
2,70,0.710,0.0636,0.0853
2,100,0.737,0.0735,0.0983
3,1,0.529,0.0086,0.0127
3,5,0.569,0.0192,0.0270
3,10,0.589,0.0267,0.0376
3,20,0.619,0.0374,0.0525
3,40,0.657,0.0510,0.0696
3,50,0.677,0.0565,0.0765
3,70,0.713,0.0639,0.0858
3,100,0.731,0.0741,0.0987
4,1,0.529,0.0086,0.0127
4,5,0.569,0.0192,0.0270
4,10,0.589,0.0267,0.0376
4,20,0.619,0.0373,0.0524
4,40,0.656,0.0509,0.0696
4,50,0.676,0.0565,0.0766
4,70,0.704,0.0643,0.0864
4,100,0.735,0.0733,0.0980
